	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	1380.20, 0	1390.86, 0	1401.37, 0	1411.47, 0	1420.84, 0	1429.79, 1	1438.68, 2	1447.34, 3	1455.66, 4	1463.70, 4	1471.33, 5	1478.20, 5	1484.20, 5	1489.46, 5	1494.10, 5	1498.20, 5	1501.83, 5	1505.04, 5	1507.88, 5	1510.36, 5	1512.52, 5	
1	1392.38, 0	1403.09, 0	1413.79, 0	1424.20, 0	1433.87, 0	1442.95, 1	1451.46, 1	1459.73, 2	1467.30, 3	1474.42, 3	1481.17, 4	1487.43, 5	1493.13, 5	1498.09, 5	1502.43, 5	1506.24, 5	1509.59, 5	1512.54, 5	1515.12, 5	1517.36, 5	1519.30, 5	
2	1406.85, 0	1417.59, 0	1428.40, 0	1438.97, 0	1448.80, 0	1457.53, 0	1465.38, 1	1472.79, 1	1479.35, 2	1485.62, 2	1491.16, 2	1496.40, 3	1501.23, 4	1505.82, 5	1509.87, 5	1513.40, 5	1516.48, 5	1519.18, 5	1521.53, 5	1523.55, 5	1525.29, 5	
3	1421.60, -1	1432.33, 0	1443.12, 0	1453.64, 0	1463.39, 0	1472.00, 0	1479.48, 0	1486.02, 0	1491.80, 0	1497.08, 1	1501.99, 1	1506.35, 1	1510.25, 1	1513.71, 2	1516.91, 2	1519.74, 2	1522.57, 5	1525.04, 5	1527.18, 5	1529.01, 5	1530.57, 5	
4	1436.49, -2	1446.72, -1	1456.89, -1	1466.42, 0	1475.98, 0	1484.39, 0	1491.66, 0	1497.97, 0	1503.51, 0	1508.42, 0	1512.78, 0	1516.66, 0	1520.12, 0	1523.19, 0	1525.90, 0	1528.26, 0	1530.30, 0	1532.02, 0	1533.42, 0	1534.64, 1	1535.60, 1	
5	1450.10, -2	1460.02, -2	1469.26, -2	1478.44, -1	1486.80, -1	1494.87, 0	1501.89, 0	1507.93, 0	1513.18, 0	1517.81, 0	1521.89, 0	1525.50, 0	1528.69, 0	1531.50, 0	1533.97, 0	1536.11, 0	1537.94, 0	1539.47, 0	1540.71, 0	1541.67, 0	1541.88, 0	
6	1462.00, -3	1471.51, -2	1480.63, -2	1488.84, -2	1496.95, -1	1504.07, 0	1510.81, 0	1516.56, 0	1521.53, 0	1525.85, 0	1529.65, 0	1532.99, 0	1535.92, 0	1538.48, 0	1540.71, 0	1542.63, 0	1544.26, 0	1545.60, 0	1546.68, 0	1547.50, 0	1547.60, 0	
7	1472.95, -3	1481.95, -3	1490.72, -2	1498.73, -2	1506.02, -1	1512.79, -1	1518.82, 0	1524.28, 0	1528.94, 0	1532.98, 0	1536.50, 0	1539.58, 0	1542.27, 0	1544.60, 0	1546.62, 0	1548.34, 0	1549.79, 0	1550.97, 0	1551.90, 0	1552.61, 0	1552.61, 0	
8	1483.01, -3	1491.87, -3	1499.92, -2	1507.70, -2	1514.43, -2	1520.74, -1	1526.21, -1	1531.24, 0	1535.62, 0	1539.38, 0	1542.64, 0	1545.48, 0	1547.94, 0	1550.07, 0	1551.90, 0	1553.45, 0	1554.74, 0	1555.79, 0	1556.60, 0	1557.20, 0	1557.13, 0	
9	1492.29, -3	1501.00, -3	1508.67, -3	1515.89, -2	1522.34, -2	1527.96, -1	1533.14, -1	1537.58, 0	1541.67, 0	1545.17, 0	1548.18, 0	1550.79, 0	1553.05, 0	1555.00, 0	1556.66, 0	1558.06, 0	1559.22, 0	1560.15, 0	1560.86, 0	1561.39, 0	1561.25, 0	
10	1501.05, -4	1509.38, -3	1516.82, -3	1523.35, -2	1529.52, -2	1534.70, -2	1539.44, -1	1543.54, -1	1547.18, 0	1550.43, 0	1553.21, 0	1555.61, 0	1557.68, 0	1559.46, 0	1560.97, 0	1562.24, 0	1563.28, 0	1564.12, 0	1564.75, 0	1565.21, 0	1565.02, 0	
11	1509.40, -4	1517.04, -3	1524.26, -3	1530.37, -3	1536.07, -2	1540.97, -2	1545.19, -1	1549.02, -1	1552.27, -1	1555.23, 0	1557.80, 0	1560.00, 0	1561.90, 0	1563.53, 0	1564.91, 0	1566.06, 0	1567.00, 0	1567.75, 0	1568.31, 0	1568.72, 0	1568.49, 0	
12	1517.05, -4	1524.22, -4	1531.05, -3	1536.89, -3	1542.06, -2	1546.69, -2	1550.53, -2	1554.04, -1	1557.04, -1	1559.65, 0	1562.01, 0	1564.03, 0	1565.77, 0	1567.26, 0	1568.51, 0	1569.56, 0	1570.42, 0	1571.09, 0	1571.60, 0	1571.96, 0	1571.69, 0	
13	1524.04, -4	1530.99, -4	1537.26, -3	1542.86, -3	1547.56, -2	1551.93, -2	1555.51, -2	1558.64, -1	1561.43, -1	1563.79, -1	1565.89, 0	1567.75, 0	1569.34, 0	1570.70, 0	1571.85, 0	1572.80, 0	1573.58, 0	1574.19, 0	1574.64, 0	1574.96, 0	1574.67, 0	
14	1530.45, -4	1537.19, -4	1542.97, -3	1548.33, -3	1552.67, -3	1556.74, -2	1560.09, -2	1562.89, -1	1565.47, -1	1567.65, -1	1569.50, -1	1571.20, 0	1572.65, 0	1573.89, 0	1574.94, 0	1575.81, 0	1576.52, 0	1577.07, 0	1577.49, 0	1577.78, 0	1577.46, 0	
15	1536.34, -4	1542.89, -4	1548.23, -3	1553.36, -3	1557.47, -3	1561.18, -2	1564.31, -2	1566.89, -2	1569.21, -1	1571.22, -1	1572.92, -1	1574.40, 0	1575.74, 0	1576.87, 0	1577.83, 0	1578.63, 0	1579.27, 0	1579.78, 0	1580.16, 0	1580.43, 0	1580.09, 0	
16	1541.96, -5	1548.12, -4	1553.21, -4	1557.99, -3	1561.88, -3	1565.28, -2	1568.21, -2	1570.61, -2	1572.68, -1	1574.53, -1	1576.10, -1	1577.43, -1	1578.61, 0	1579.66, 0	1580.53, 0	1581.27, 0	1581.86, 0	1582.33, 0	1582.68, 0	1582.93, 0	1582.59, 0	
17	1547.19, -5	1552.95, -4	1557.83, -4	1562.27, -3	1565.96, -3	1569.06, -2	1571.82, -2	1574.05, -2	1575.90, -2	1577.60, -1	1579.05, -1	1580.28, -1	1581.32, -1	1582.25, 0	1583.06, 0	1583.73, 0	1584.28, 0	1584.72, 0	1585.06, 0	1585.30, 0	1584.97, 0	
18	1552.01, -5	1557.40, -4	1562.09, -4	1566.21, -3	1569.72, -3	1572.55, -2	1575.15, -2	1577.23, -2	1578.95, -2	1580.44, -1	1581.78, -1	1582.92, -1	1583.88, -1	1584.70, -1	1585.37, -1	1585.99, 0	1586.51, 0	1586.93, 0	1587.26, 0	1587.51, 0	1587.19, 0	
