	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.00, 0	10.49, 0	20.24, 0	28.51, 1	36.85, 1	43.61, 2	49.87, 2	54.00, 3	58.08, 3	60.48, 3	61.97, 4	63.21, 4	63.81, 4	64.09, 4	64.21, 4	64.26, 4	64.29, 4	64.31, 4	64.32, 4	64.32, 4	64.32, 4	
1	11.69, 0	22.22, 0	32.15, 0	40.84, 0	47.88, 1	54.76, 1	59.43, 1	63.28, 2	66.00, 2	67.56, 2	68.44, 2	68.92, 2	69.21, 2	69.42, 3	69.54, 3	69.61, 3	69.65, 3	69.68, 3	69.70, 3	69.71, 3	69.71, 3	
2	26.32, -1	36.22, -1	46.24, 0	55.57, 0	63.22, 0	68.74, 0	72.31, 0	75.34, 1	77.33, 1	78.54, 1	79.29, 1	79.77, 1	80.08, 1	80.27, 1	80.40, 1	80.48, 1	80.53, 1	80.56, 1	80.58, 1	80.59, 1	80.60, 1	
3	46.42, -2	55.24, -1	64.45, -1	72.35, -1	78.60, 0	84.59, 0	88.55, 0	91.06, 0	92.66, 0	93.70, 0	94.38, 0	94.83, 0	95.13, 0	95.32, 0	95.44, 0	95.52, 0	95.57, 0	95.60, 0	95.62, 0	95.64, 0	95.63, 0	
4	69.18, -3	77.69, -2	85.40, -2	91.63, -2	96.48, -1	100.95, -1	103.88, -1	105.78, -1	107.04, -1	107.87, -1	108.43, -1	108.80, -1	109.05, -1	109.20, -1	109.31, -1	109.37, -1	109.41, -1	109.43, -1	109.45, -1	109.44, -1	108.33, 0	
5	91.33, -3	98.86, -3	104.91, -3	109.70, -2	114.33, -2	117.50, -2	119.62, -2	121.02, -2	121.96, -2	122.59, -2	123.01, -2	123.28, -2	123.46, -2	123.56, -2	123.63, -2	123.66, -2	123.66, -2	123.66, -2	123.61, -2	122.31, -1	116.88, 0	
6	109.05, -4	115.58, -3	121.57, -3	126.09, -3	129.32, -3	131.52, -3	133.00, -3	134.00, -3	134.82, -2	135.39, -2	135.77, -2	136.01, -2	136.15, -2	136.21, -2	136.21, -2	136.15, -2	136.04, -2	135.89, -2	135.70, -2	131.13, -1	123.00, 0	
7	123.90, -4	129.76, -4	134.67, -3	139.01, -3	142.05, -3	144.09, -3	145.45, -3	146.35, -3	146.95, -3	147.33, -3	147.57, -3	147.68, -3	147.69, -3	147.60, -3	147.40, -3	147.12, -3	146.77, -3	146.37, -3	144.55, -2	137.84, -1	127.80, 0	
8	136.86, -4	142.54, -4	146.74, -4	150.52, -3	153.34, -3	155.18, -3	156.38, -3	157.16, -3	157.65, -3	157.96, -3	158.11, -3	158.12, -3	158.00, -3	157.72, -3	157.27, -3	156.68, -3	155.99, -3	155.25, -3	151.74, -2	143.33, -1	131.73, 0	
9	149.22, -4	154.68, -4	158.64, -4	161.38, -4	163.95, -3	165.60, -3	166.64, -3	167.28, -3	167.66, -3	167.86, -3	167.89, -3	167.76, -3	167.44, -3	166.89, -3	166.09, -3	165.08, -3	163.95, -3	162.78, -3	157.75, -2	147.89, -1	134.96, 0	
