	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	343.16, 0	353.25, 0	363.34, 0	373.24, 0	382.77, 0	391.90, 0	400.62, 0	408.91, 0	416.97, 1	424.85, 1	432.72, 2	440.30, 3	447.74, 3	454.87, 4	461.88, 4	468.55, 4	475.01, 5	481.26, 5	487.21, 5	492.88, 5	498.27, 5	
1	353.90, 0	364.18, 0	374.63, 0	384.81, 0	394.49, 0	403.66, 0	412.37, 0	420.66, 0	428.54, 0	436.38, 1	443.86, 1	451.10, 2	458.17, 2	464.91, 2	471.47, 3	477.81, 3	483.86, 3	489.73, 4	495.39, 4	500.78, 4	505.96, 5	
2	365.72, 0	376.11, 0	386.76, 0	397.10, 0	406.84, 0	416.01, 0	424.70, 0	432.96, 0	440.81, 0	448.27, 0	455.38, 0	462.34, 1	469.07, 1	475.49, 1	481.61, 1	487.51, 2	493.27, 2	498.76, 2	503.99, 2	508.95, 3	513.78, 3	
3	377.51, 0	387.88, 0	398.50, 0	408.80, 0	418.50, 0	427.62, 0	436.27, 0	444.47, 0	452.27, 0	459.68, 0	466.74, 0	473.46, 0	479.87, 0	485.98, 0	491.82, 0	497.40, 0	502.83, 1	508.05, 1	513.00, 1	517.63, 1	521.87, 2	
4	388.38, -1	398.59, -1	409.08, 0	419.28, 0	428.90, 0	437.96, 0	446.53, 0	454.66, 0	462.38, 0	469.72, 0	476.70, 0	483.34, 0	489.67, 0	495.70, 0	501.45, 0	506.93, 0	512.15, 0	517.09, 0	521.71, 0	525.95, 0	529.86, 1	
5	398.83, -2	408.90, -1	419.03, -1	428.75, 0	438.29, 0	447.26, 0	455.73, 0	463.76, 0	471.38, 0	478.61, 0	485.49, 0	492.04, 0	498.27, 0	504.19, 0	509.84, 0	515.21, 0	520.31, 0	525.14, 0	529.64, 0	533.76, 0	537.37, 0	
6	408.80, -2	418.64, -2	428.34, -1	437.95, -1	446.99, 0	455.85, 0	464.20, 0	472.10, 0	479.60, 0	486.71, 0	493.47, 0	499.90, 0	506.01, 0	511.83, 0	517.35, 0	522.61, 0	527.60, 0	532.30, 0	536.69, 0	540.68, 0	544.17, 0	
7	418.04, -3	427.81, -2	437.34, -2	446.57, -1	455.48, -1	463.93, 0	472.14, 0	479.89, 0	487.23, 0	494.20, 0	500.83, 0	507.12, 0	513.11, 0	518.80, 0	524.21, 0	529.35, 0	534.22, 0	538.80, 0	543.07, 0	546.95, 0	550.34, 0	
8	427.11, -3	436.48, -3	445.90, -2	454.82, -2	463.51, -1	471.73, -1	479.63, 0	487.22, 0	494.40, 0	501.21, 0	507.68, 0	513.83, 0	519.68, 0	525.24, 0	530.53, 0	535.54, 0	540.29, 0	544.76, 0	548.92, 0	552.69, 0	555.99, 0	
9	435.71, -3	445.00, -3	454.01, -2	462.81, -2	471.11, -1	479.18, -1	486.76, -1	494.15, 0	501.15, 0	507.79, 0	514.10, 0	520.10, 0	525.80, 0	531.23, 0	536.38, 0	541.27, 0	545.90, 0	550.26, 0	554.31, 0	557.98, 0	561.19, 0	
